feature_A,feature_B,correlation
FOXP1,AHR,-1
TEAD1,AHR,0.976190476190476
TEAD4,AHR,0.976190476190476
SOX2,ARNT,0.976190476190476
TEAD1,ARNT,0.976190476190476
TEAD4,ARNT,0.976190476190476
NKX3-1,ARNTL,-0.976190476190476
SMAD3,BACH2,0.976190476190476
TFAP2A,BACH2,0.976190476190476
ETS1,BATF,0.976190476190476
MITF,BATF,0.976190476190476
NFATC1,BATF,0.976190476190476
FOS,BCL11A,0.976190476190476
RFX2,BCL11A,-0.976190476190476
SMAD2,BHLHE22,-0.976190476190476
TCF12,BHLHE22,-0.976190476190476
VDR,CEBPG,0.976190476190476
EGR1,CLOCK,0.976190476190476
NR1I2,CLOCK,0.976190476190476
RFXANK,CLOCK,0.976190476190476
RFXAP,CLOCK,0.976190476190476
MEF2A,CREB5,0.976190476190476
SATB1,CREM,-0.976190476190476
ERG,CTCFL,0.976190476190476
TEAD2,CTCFL,0.976190476190476
MAF,DDIT3,0.976190476190476
E2F3,E2F1,0.976190476190476
LYL1,EBF1,0.976190476190476
MEF2C,EBF1,0.976190476190476
MEIS1,EBF1,0.976190476190476
NFKBIA,EBF1,0.976190476190476
STAT5B,EGR1,0.976190476190476
MITF,EHF,-0.976190476190476
NFATC1,EHF,-0.976190476190476
ZNF217,EHF,-0.976190476190476
MEIS1,ERG,0.976190476190476
NR1I2,ESR1,0.976190476190476
RFXANK,ESR1,0.976190476190476
RFXAP,ESR1,0.976190476190476
KLF4,ESR2,0.976190476190476
ETV4,ETS1,0.976190476190476
POU2F2,ETS1,0.976190476190476
SPI1,ETS1,0.976190476190476
STAT5B,ETS1,0.976190476190476
STAT5B,ETS2,0.976190476190476
HHEX,ETV1,-0.976190476190476
NFKBIA,ETV1,0.976190476190476
TEAD1,ETV1,0.976190476190476
MITF,ETV4,0.976190476190476
NFATC1,ETV4,0.976190476190476
HINFP,ETV6,-1
MITF,ETV6,-0.976190476190476
NFATC1,ETV6,-0.976190476190476
TP73,ETV6,-1
MEF2B,FLI1,0.976190476190476
SOX10,FLI1,0.976190476190476
USF2,FOSL2,0.976190476190476
KLF13,FOXA2,0.976190476190476
HBP1,FOXJ2,-0.976190476190476
ZKSCAN1,FOXK2,0.976190476190476
KLF4,FOXO1,0.976190476190476
TEAD1,FOXP1,-0.976190476190476
TEAD4,FOXP1,-0.976190476190476
MEF2B,FOXP2,-0.976190476190476
MIER1,GATA2,0.976190476190476
SOX13,GATA3,0.976190476190476
HOXA9,GFI1B,0.976190476190476
TFAP4,GFI1B,0.976190476190476
PROX1,GLI2,0.976190476190476
STAT3,GLI2,0.976190476190476
ONECUT1,HBP1,-0.976190476190476
POU4F2,HES1,-0.976190476190476
MAFK,HHEX,-0.976190476190476
glycine,HIF1A,-1
MITF,HINFP,0.976190476190476
NFATC1,HINFP,0.976190476190476
MEF2C,HNF1A,-0.976190476190476
RBPJ,HNF1A,-0.976190476190476
TCF4,HNF1A,-0.976190476190476
ZEB2,HNF1A,0.976190476190476
SMARCC2,HNF4G,0.976190476190476
NR0B2,IRF3,-0.976190476190476
palmitoylcarnitine,IRF9,-0.976190476190476
TFAP2A,JUNB,0.976190476190476
USF2,JUND,0.976190476190476
ZNF83,KLF1,0.976190476190476
MAFB,KLF2,0.976190476190476
TFAP2A,KLF6,0.976190476190476
SSRP1,KLF9,-1
TSC22D4,KLF9,-0.976190476190476
RFX5,KMT2B,-0.976190476190476
PDX1,LYL1,0.976190476190476
TAL1,LYL1,0.976190476190476
MEF2C,MAFF,0.976190476190476
NFKBIA,MAFF,0.976190476190476
TEAD1,MAFF,0.976190476190476
SOX11,MAFK,0.976190476190476
SNAPC4,MAZ,0.976190476190476
ZNF197,MAZ,0.976190476190476
SRF,MEF2A,0.976190476190476
NANOG,MEF2B,0.976190476190476
NFIL3,MEF2C,0.976190476190476
TAL1,MEF2C,0.976190476190476
NFIL3,MITF,0.976190476190476
POU2F2,MITF,0.976190476190476
SPI1,MITF,0.976190476190476
TAL1,MITF,0.976190476190476
TP73,MITF,0.976190476190476
NCOA1,MYCN,-1
NAD,NCOR2,0.976190476190476
NFIL3,NFATC1,0.976190476190476
POU2F2,NFATC1,0.976190476190476
SPI1,NFATC1,0.976190476190476
TAL1,NFATC1,0.976190476190476
TP73,NFATC1,0.976190476190476
TSC22D4,NFE2,-0.976190476190476
SRF,NFIL3,0.976190476190476
PAX3,NR0B1,-0.976190476190476
PBX2,NR2F1,0.976190476190476
PRDM14,NR2F1,0.976190476190476
STAT1,PBX3,0.976190476190476
SOX13,POU4F2,0.976190476190476
TP53,PROX1,0.976190476190476
STAT3,RARA,0.976190476190476
TAL1,RBPJ,0.976190476190476
ZEB2,RBPJ,-1
ZNF83,RCOR1,-0.976190476190476
SPIB,RFX2,-0.976190476190476
STAT5B,RUNX1,0.976190476190476
SPDEF,RUNX2,-0.976190476190476
ZNF589,SIX2,0.976190476190476
ZNF83,SMAD3,0.976190476190476
TSC22D4,SSRP1,0.976190476190476
TP53,STAT3,0.976190476190476
ZNF92,T,0.976190476190476
ZEB2,TAL1,-0.976190476190476
TCF7,TBX21,0.976190476190476
ZNF740,YY1,0.976190476190476
ZNF589,ZNF584,0.976190476190476
ZNF92,ZNF644,0.976190476190476
oleic_acid,linoleic acid,0.976190476190476
oleic_acid,myristic_acid,0.976190476190476
succinate,myristic_acid,-0.976190476190476
stearic acid,palmitic_acid,0.976190476190476
palmitoylcarnitine,oleylcarnitine,0.976190476190476
carnitine,methionine,-0.976190476190476
tyrosine,methionine,0.976190476190476
threonine,acetylcholine,-1
lysine,serine,0.976190476190476
creatinine,CDK12,0.928571428571429
hypoxanthine,AKT1,0.928571428571429
glycine,PRKCB,-0.952380952380953
GABA,PRKCI,-0.976190476190476
guanosine,CDKL5,0.952380952380953
carnitine,PRKCQ,0.928571428571429
tyrosine,PRKCQ,-0.952380952380953
oleylcarnitine,FGR,0.928571428571429
gluconate,RPS6KA4,0.952380952380953
taurine,RPS6KB2,-0.928571428571429
octanoylcarnitine,CDK1,-0.976190476190476
NAD,MTOR,0.952380952380953
GMP,PIM3,-0.976190476190476
ethanolamine,IKBKE,-0.952380952380953
ethanolamine,CHUK,-0.928571428571429
fructose 6-phosphate,RET,0.928571428571429
cytidine,CSK,-0.952380952380953
malate,GRK2,-0.928571428571429
fumarate,GRK2,-0.928571428571429
glycerol,ATR,-0.928571428571429
ornithine,LIMK1,-0.928571428571429
lysine,LIMK1,-0.928571428571429
KIV,ROCK2,-0.976190476190476
S-(2-Succinyl)cysteine,ROCK2,0.952380952380953
glycine,WNK1,-0.928571428571429
glutamine,SGK3,-0.928571428571429
glycerylphosphorylcholine,MAPK13,0.928571428571429
GSH,CAMK2G,-0.976190476190476
ADP,CAMK2G,-0.976190476190476
taurine,WEE1,0.928571428571429
acetylcarnitine,MAPK10,-0.928571428571429
hypoxanthine,AKT3,0.976190476190476
S-Adenosyl-Methionine,AKT1S1,-0.952380952380953
GSSG,MLST8,0.952380952380953
glutamine,SGK2,-0.928571428571429
asparagine,PPM1D,-0.928571428571429
methionine,PTPN2,-0.952380952380953
tryptophan,PTPN2,-0.952380952380953
carnitine,PTPN2,0.928571428571429
alanine,CDK17,-0.952380952380953
fructose 6-phosphate,DYRK4,-0.928571428571429
uric acid,DYRK4,0.952380952380953
gluconate,RSKR,0.928571428571429
gluconate,RPS6KA6,0.928571428571429
fructose 6-phosphate,INS,0.952380952380953
glutamine,RHOA,-0.976190476190476
fructose 6-phosphate,IL2,0.928571428571429
cytidine,FN1,0.952380952380953
glutamine,ANGPT1,-0.976190476190476
methionine,PRRT2,-0.928571428571429
carnitine,PRRT2,0.952380952380953
tyrosine,PRRT2,-0.952380952380953
asparagine,PRRT2,-0.952380952380953
palmitoleic acid,DIPK2A,-0.976190476190476
3-hydroxybutyrate,DIPK2A,-0.928571428571429
glutamine,DUSP16,-0.928571428571429
S-Adenosyl-Homocysteine,MAPT,-0.952380952380953
