Node1,Node2,Sign,Weight
ETS2,ERG,1,100
ETS2,ETS1,1,100
FGR,NCOA2,1,12
FOXM1,CCNB1,1,100
FOXM1,MYC,1,100
FOXM1,SKP2,1,100
GATA2,LYL1,1,100
GATA2,MYC,1,100
GATA3,CD8A,1,10
GATA3,ERG,1,46
GATA3,ZEB1,1,46
GNG2,LYN,1,100
GNG2,RAC1,1,100
GSK3B,ARNTL,-1,100
GSK3B,BCL3,1,100
GSK3B,CIITA,1,100
GSK3B,ESR1,1,100
GSK3B,KLF5,-1,100
GSK3B,MAF,1,100
GSK3B,MAX,1,100
GSK3B,NFE2L1,-1,100
GSK3B,NOTCH1,1,72
GSK3B,TP53,1,100
HIF1A,ETS1,1,100
HIF1A,PMAIP1,1,100
HIF1A,TP53,1,100
HIF1A,VEGFC,1,100
HINFP,ATM,1,100
HLA-A,EOMES,1,22
HNF1A,IGFBP1,1,100
HNF1A,NFKBIA,1,100
HSD17B1,Estradiol_c_,1,44
HSD17B1,Estradiol_r_,1,56
IGFBP1,PPP2CA,1,100
IKBKB,IRF3,1,100
IKBKE,ESR1,1,100
IKBKE,IRF3,1,100
IKBKE,NFKBIA,-1,100
IRF1,CIITA,1,100
IRF1,HLA-A,1,22
IRF1,IRF2,1,100
IRF1,TP53,1,100
IRF2,CIITA,1,100
IRF3,TP53,1,100
JAK2,EOMES,-1,34
JAK2,FGR,1,12
JAK2,MTA1,1,34
JAK2,NFKBIA,1,34
JUN,DUSP1,1,50
JUN,VEGFC,1,100
KLF5,ESR1,-1,100
LEPR,PRKAA1,1,100
LRRK2,AKT2,1,100
LRRK2,AKT3,1,100
LYL1,ERG,1,100
LYN,CBLB,1,100
LYN,MAPK3,1,100
LYN,MAPK8,1,100
LYN,NFKB1,1,100
LYN,PIK3CA,1,100
LYN,PRKCA,1,100
LYN,RAC1,1,100
MAP3K7,AKT3,1,100
MAP3K7,BCL3,1,100
MAP3K7,IKBKB,1,100
MAP3K7,MAPK1,1,100
MAP3K7,MAPK3,1,100
MAP3K7,MAPK8,1,100
MAP3K7,NFKB1,1,100
MAP3K7,NLK,1,100
MAP3K7,UHMK1,1,100
MAPK1,CDK2,1,100
MAPK1,CIITA,1,100
MAPK1,EGR1,1,100
MAPK1,EP300,1,28
MAPK1,ESR1,1,100
MAPK1,ETS1,1,100
MAPK1,GATA2,1,100
MAPK1,GSK3B,1,100
MAPK1,HIF1A,1,100
MAPK1,MAPK3,1,100
MAPK1,MAPKAPK2,1,100
MAPK1,MAPKAPK3,1,100
MAPK1,MAPKAPK5,1,100
MAPK1,MEF2C,1,100
MAPK1,MYC,1,100
MAPK1,NFKB1,1,100
MAPK1,NFKBIA,-1,100
MAPK1,PAK1,1,100
MAPK1,POU5F1,-1,100
MAPK1,RARG,1,100
MAPK1,RPS6KB1,1,100
MAPK1,RXRB,1,100
MAPK1,SMAD4,1,100
MAPK1,STAT2,1,100
MAPK1,STAT3,1,100
MAPK1,TP53,1,100
MAPK13,CLK1,1,100
MAPK13,EEF2K,-1,100
MAPK13,MAPK3,-1,100
MAPK14,ATF4,1,100
MAPK14,ATF6,1,100
MAPK14,EP300,1,28
MAPK14,ESR1,1,100
MAPK14,ETS1,1,100
MAPK14,ETS2,1,100
MAPK14,GATA2,1,100
MAPK14,GATA3,1,46
MAPK14,MAX,1,100
MAPK14,MEF2C,1,100
MAPK14,MYC,1,100
MAPK14,NFKB1,1,100
MAPK14,NFKBIA,-1,100
MAPK14,RARG,1,100
MAPK14,STAT3,1,100
MAPK14,TP53,1,100
MAPK14,USF1,1,100
MAPK15,ETS1,1,100
MAPK3,BCL3,1,100
MAPK3,CDK2,1,100
MAPK3,CIITA,1,100
MAPK3,EGR1,1,100
MAPK3,EP300,1,28
MAPK3,ESR1,1,100
MAPK3,ETS1,1,100
MAPK3,HIF1A,1,100
MAPK3,MAPK8,1,100
MAPK3,MAPKAPK2,1,100
MAPK3,MYC,1,100
MAPK3,NFKB1,1,100
MAPK3,NFKBIA,-1,100
MAPK3,POU5F1,-1,100
MAPK3,PTPN11,1,100
MAPK3,RARG,1,100
MAPK3,RPS6KB1,1,100
MAPK3,RUNX1,1,100
MAPK3,RXRB,1,100
MAPK3,SMAD4,1,100
MAPK3,STAT3,1,100
MAPK3,TAL1,1,100
MAPK3,TP53,1,100
MAPK8,EGR1,1,100
MAPK8,ESR1,1,100
MAPK8,IRF1,1,100
MAPK8,IRF3,1,100
MAPK8,MYC,1,100
MAPK8,NFKB1,1,100
MAPK8,NR4A1,-1,100
MAPK8,RPS6KB1,1,100
MAPK8,SMAD4,1,100
MAPK8,STAT3,1,100
MAPK8,TP53,1,100
MAPK9,BCL3,1,100
MAPK9,ETS1,1,100
MAPK9,JAK2,-1,34
MAPK9,MAPK3,1,100
MAPK9,MYC,1,100
MAPK9,NFATC1,1,100
MAPK9,SMAD4,1,100
MAPK9,STAT3,1,100
MAPK9,TP53,1,100
MAPKAPK2,ATF4,1,100
MAPKAPK3,ATF4,1,100
MAPKAPK5,MAPK4,1,100
MAPKAPK5,MAPK8,1,100
MAPKAPK5,UHMK1,1,100
MAX,E2F3,1,100
MAX,MYC,1,100
MEF2A,ESRRA,1,100
MEF2C,NR4A1,-1,100
MLST8,RPS6KB1,1,100
MLST8,SGK1,1,100
MTA1,ESR1,-1,100
MTA1,MTA3,-1,100
MTA1,MYC,-1,100
MTOR,HIF1A,1,100
MTOR,STAT3,1,100
MTOR,TP53,1,100
MYC,CCNB1,1,100
MYC,NDRG2,-1,100
MYC,PMAIP1,1,100
MYC,VEGFC,1,100
MYCN,TP53,1,100
NDRG2,BMP4,1,100
NFKB1,B2M,1,22
NFKB1,IRF1,1,100
NFKB1,IRF4,1,100
NFKB1,MAPK3,1,100
NFKB1,MYC,1,100
NFKB1,TP53,1,100
NFKB1,TRAF3,1,100
NFKB1,VEGFC,1,100
NLK,HNF1A,-1,100
NLK,HNF4A,-1,100
NLK,STAT3,1,100
NOTCH1,GATA3,1,36
NOTCH1,HES1,1,72
NOTCH1,HIF1A,1,72
NOTCH1,MEF2C,1,72
NOTCH1,RBPJ,1,72
NPAT,HINFP,1,100
NR1H3,MYC,1,100
PAK1,APEX1,1,100
PAK1,BCL3,1,100
PAK1,ESR1,1,100
PAK1,IRF3,1,100
PAK1,MAX,1,100
PAK1,NFKB1,1,100
PIK3CA,MYC,1,100
PIK3CA,NFKB1,1,100
PIK3CA,STAT3,1,100
PIK3CA,ZBTB7A,1,100
PLK1,FOXM1,1,100
PLK1,MYC,1,100
PPP2CA,AKT2,-1,100
PPP2CA,AKT3,-1,100
PPP2CA,ATM,-1,100
PPP2CA,MAP3K7,-1,100
PPP2CA,MAPK1,-1,100
PPP2CA,MAPK15,-1,100
PPP2CA,MAPK3,-1,100
PPP2CA,PAK1,-1,100
PPP2CA,PRKCA,-1,100
PPP2CA,RPS6KB1,-1,100
PRKAA1,EP300,-1,28
PRKAA1,POU2F1,-1,100
PRKACA,ATF4,1,100
PRKACA,CREB3L1,1,100
PRKACA,EP300,1,28
PRKACA,ESR1,1,100
PRKACA,IRF3,1,100
PRKACA,JAK2,-1,34
PRKACA,MEF2A,-1,100
PRKACA,NFKB1,1,100
PRKACA,RARG,1,100
PRKACA,TAL1,1,100
PRKACA,WT1,-1,100
PRKCA,DVL2,1,100
PRKCA,EEF2K,1,100
PRKCA,IKBKB,1,100
PRKCA,MAPK1,1,100
PRKCA,MAPK3,1,100
PRKCA,MAPK8,1,100
PRKCA,NFKB1,1,100
PRKCA,PTPN11,1,100
PRKCA,RAC1,1,100
PRKCA,RPS6KB1,1,100
PRKCA,RXRB,1,100
PRKCA,STAT3,1,100
PRKCB,DVL2,1,100
PRKCB,IKBKB,1,100
PRKCB,MAPK1,1,100
PRKCB,MAPK3,1,100
PRKCB,MAPK8,1,100
PRKCB,RAC1,1,100
PRKCB,RPS6KB1,1,100
PRKCB,UHMK1,1,100
PRKX,ATF4,1,100
PRKX,CREB3L1,1,100
PRKX,EP300,1,28
PRKX,GSK3B,1,100
PTP4A1,ATF7,-1,100
PTPN11,HOXA10,1,100
PTPN11,PIK3CA,1,100
PTPN11,STAT3,1,100
RAC1,HIF1A,1,100
RAC1,MAPK1,1,100
RAC1,MAPK8,1,100
RAC1,MAPK9,1,100
RAC1,MYC,1,100
RAC1,NFKB1,1,100
RAC1,PAK1,1,100
RAC1,PIK3CA,1,100
RAC1,STAT3,1,100
RAC1,TP53,1,100
RBPJ,SKP2,1,100
RBPJ,SPI1,1,100
RELA,TRAF3,1,100
RELA,VEGFC,1,100
RPS6KB1,ESR1,1,100
RPS6KB1,IRF3,1,100
RPS6KB1,MYC,1,100
RRAGB,AKT1S1,-1,100
RRAGB,DEPTOR,-1,100
RRAGB,MLST8,-1,100
RUNX1,SPI1,1,100
RXRB,NR1H3,1,100
RXRB,RARG,1,100
SGK1,SMO,-1,56
SKP2,DUSP1,1,50
SKP2,RRAGB,-1,100
SMAD4,E2F4,1,100
SMAD4,MEF2C,1,100
SMAD4,MYC,1,100
SMAD4,TCF7,1,100
SMARCA4,ESR1,1,54
SMARCA4,ZEB1,1,54
SMO,NCOA2,1,56
SRC,CTNND1,1,100
SRC,ESR1,1,100
SRC,HNF4A,-1,100
SRC,NFKB1,1,100
SRC,PIK3CA,1,100
SRC,PTP4A1,1,100
SRC,STAT3,1,100
STAT1,VEGFC,1,100
STAT2,IRF1,1,100
STAT2,IRF9,1,100
STAT2,MYC,1,100
STAT3,CEBPD,1,100
STAT3,IRF1,1,100
STAT3,MYC,1,100
STAT3,SPI1,1,100
STAT3,VEGFC,1,100
TAB2,MAPK13,1,50
TAL1,ERG,1,100
TAL1,MEF2C,1,100
TBK1,AKT2,1,100
TBK1,AKT3,1,100
TBK1,IKBKB,1,100
TBK1,IKBKE,1,100
TBK1,IRF3,1,100
TBK1,MAPK1,1,100
TBK1,NFKB1,1,100
TBK1,NFKBIA,-1,100
TCF7,MYC,1,100
TFAP2A,HSD17B1,-1,100
TFAP4,CDK1,-1,100
TP53,DUSP1,1,50
TP53,ESR1,1,100
TP53,HNF4A,-1,100
TP53,PMAIP1,1,100
TRAF3,IKBKE,1,100
TRAF3,TBK1,1,100
UHMK1,BCL3,1,100
USF1,B2M,1,22
USF1,CIITA,1,100
VEGFC,PRKCA,1,100
VEGFC,PRKCB,1,100
WT1,MYC,-1,100
WT1,MYCN,-1,100
WT1,TP53,-1,100
ZBTB7A,NFKB1,1,100
ZEB1,GRHL2,-1,100
