Nodes,measured,type,Activity
LGSN,0,metab_enzyme,1
PNP,0,metab_enzyme,-1
AHCY,0,metab_enzyme,-1
AHCYL1,0,metab_enzyme,-1
Metab__cdpdag_hs_m_,0,metabolite,1
PGS1,0,metab_enzyme,1
CRLS1,0,metab_enzyme,1
KMT2A,0,metab_enzyme,-1
PRKG1,1,Kinase,-1
CDK5,1,Kinase,1
PRKACA,0,Kinase,-1
MAPK14,0,Kinase,-1
MAPKAPK2,1,Kinase,-1
ATM,0,Kinase,1
MYCN,1,TF,1
PRKDC,0,Kinase,1
CDK2,1,Kinase,1
MYC,1,TF,1
MAPK8,1,Kinase,1
TP53,0,TF,-1
E2F3,1,TF,1
STAT1,1,TF,1
CDK1,1,Kinase,1
IRF1,1,TF,1
CREBBP,0,protein,-1
DYRK2,1,Kinase,1
HIF1A,1,TF,1
IL6,0,Kinase,-1
GSK3A,1,Kinase,1
RUNX1,1,TF,1
CSNK2A1,1,Kinase,1
EP300,0,Kinase,-1
STAT3,1,TF,1
PDPK1,1,Kinase,-1
CREB1,0,TF,-1
SP1,1,TF,1
PRKCA,0,Kinase,-1
PPARA,0,TF,-1
CDC7,1,Kinase,1
FOXM1,1,TF,1
ATF1,1,TF,1
PAK2,1,Kinase,1
PRKCE,1,Kinase,-1
CEBPA,1,TF,1
SPI1,1,TF,1
YY1,0,TF,-1
MAPK9,1,Kinase,1
SMAD3,1,TF,1
RXRA,0,TF,-1
CSK,1,Kinase,-1
MAPK10,1,Kinase,1
JUN,1,TF,1
RBPJ,1,TF,1
CSNK2A2,1,Kinase,1
STAT2,1,TF,1
CDK7,1,Kinase,1
CDK9,1,Kinase,1
PRKAA1,0,Kinase,1
SRPK2,1,Kinase,-1
TFDP1,1,TF,1
IRF9,1,TF,1
CCNE2,1,Kinase,1
ARNT,0,TF,-1
ATF4,1,TF,1
SP3,1,TF,1
NFKB1,1,TF,1
EPAS1,1,TF,1
ETS1,1,TF,1
LYL1,1,TF,1
CREB3,1,TF,1
AHR,1,TF,1
CCNB1,1,Kinase,1
ETS2,1,TF,1
PPARD,1,TF,1
FOSL1,1,TF,1
POU2F1,0,TF,-1
ZBTB7A,1,TF,1
MITF,0,TF,-1
ZEB1,1,TF,1
HMGA1,1,TF,1
ATF6,1,TF,1
E2F4,1,TF,1
IRF2,1,TF,1
CEBPD,1,TF,1
KMT2A,1,metab_enzyme,-1
NRF1,1,TF,-1
NFKBIA,1,TF,-1
VDR,1,TF,-1
IRF3,1,TF,-1
NR4A1,1,TF,-1
MAPT,1,Kinase,-1
RARA,1,TF,-1
MAFK,1,TF,-1
CLOCK,1,TF,-1
HNF4A,1,TF,-1
PROX1,1,TF,-1
MAX,1,TF,-1
TCF4,1,TF,-1
ESRRA,1,TF,-1
NCOA2,1,TF,-1
ZEB2,1,TF,-1
TFCP2,1,TF,1
POU5F1,1,TF,-1
IKZF1,1,TF,1
MAZ,1,TF,-1
UBTF,1,TF,-1
KLF5,1,TF,-1
TEAD1,1,TF,-1
GATA6,1,TF,-1
MEIS1,1,TF,-1
ATF7,1,TF,-1
ZHX1,1,TF,1
KLF13,1,TF,1
MTA1,1,TF,-1
TSC22D4,1,TF,1
MEIS2,1,TF,-1
POU2F2,1,TF,1
RFXAP,1,TF,1
RFXANK,1,TF,1
EHF,1,TF,-1
ZNF175,1,TF,-1
GRHL2,1,TF,-1
MAFB,1,TF,-1
KMT2A,1,TF,-1
PIK3CA,0,Kinase,1
PIK3R5,0,protein,-1
CALM1,0,Kinase,-1
TRPC1,0,protein,1
FYN,0,Kinase,1
YES1,0,Kinase,1
MAPK3,0,Kinase,-1
MAPK1,0,Kinase,1
CRY1,0,protein,1
PAK1,0,Kinase,-1
SMAD2,0,TF,-1
SMAD4,0,TF,1
PARP1,0,Kinase,1
NMI,0,protein,1
SIRT2,0,protein,-1
ZBTB17,0,protein,-1
EGLN1,0,protein,1
FOXO3,0,TF,-1
BTK,0,Kinase,1
HDAC1,0,Kinase,1
MEN1,0,protein,-1
SET,0,protein,-1
TXN,0,Kinase,1
KAT2B,0,Kinase,1
SUMO1,0,protein,1
ESR1,0,TF,-1
CCNH,0,Kinase,1
CDC42,0,Kinase,1
PRKCD,0,Kinase,-1
AKT3,0,Kinase,-1
GNAI1,0,protein,-1
IFNAR1,0,Kinase,1
MAP3K10,0,Kinase,1
LRP6,0,Kinase,-1
BMPR2,0,Kinase,1
NR0B2,0,TF,-1
MKNK2,0,Kinase,1
RAPGEF3,0,Kinase,-1
PPP2CB,0,Kinase,1
GATA2,0,TF,1
CAMK2D,0,Kinase,-1
ADORA2B,0,Kinase,-1
CIITA,0,protein,1
NFATC2,0,TF,1
ARNT,0,TF,1
DBF4B,0,protein,1
WT1,0,TF,-1
TERF2IP,0,protein,-1
AGER,0,Kinase,1
ELF1,0,TF,-1
TCF7L1,0,protein,1
CEACAM1,0,protein,-1
ELF3,0,TF,-1
PAX8,0,TF,-1
ERF,0,protein,-1
